Source	Target	Weight
Jared Donaldson	Somdev Devvarman	1.0
Jared Donaldson	Sam Querrey	2.0
Jared Donaldson	Gilles Muller	2.0
Jared Donaldson	Austin Krajicek	1.0
Jared Donaldson	John Isner	2.0
Jared Donaldson	Jerzy Janowicz	2.0
Jared Donaldson	John-Patrick Smith	2.0
Jared Donaldson	Lukas Rosol	3.0
Jared Donaldson	Nicolas Mahut	1.0
Jared Donaldson	Sam Groth	2.0
Eric Quigley	Adrian Mannarino	2.0
Janko Tipsarevic	Gilles Simon	2.0
Janko Tipsarevic	Guillermo Garcia-Lopez	3.0
Janko Tipsarevic	Santiago Giraldo	2.0
Janko Tipsarevic	Marcel Granollers	3.0
Janko Tipsarevic	Roberto Bautista Agut	2.0
Janko Tipsarevic	Denis Istomin	2.0
Janko Tipsarevic	Guilherme Clezar	1.0
Janko Tipsarevic	Victor Estrella Burgos	2.0
Janko Tipsarevic	Bernard Tomic	1.0
Grigor Dimitrov	Tomas Berdych	2.0
Grigor Dimitrov	Pablo Cuevas	2.0
Grigor Dimitrov	Benoit Paire	2.0
Grigor Dimitrov	Joao Sousa	1.0
Grigor Dimitrov	Gael Monfils	2.0
Grigor Dimitrov	Jeremy Chardy	1.0
Grigor Dimitrov	John Isner	2.0
Grigor Dimitrov	Lukas Rosol	1.0
Grigor Dimitrov	David Ferrer	2.0
Grigor Dimitrov	Steve Johnson	2.0
Grigor Dimitrov	Fabio Fognini	3.0
Grigor Dimitrov	Sam Querrey	1.0
Grigor Dimitrov	Gilles Muller	4.0
Grigor Dimitrov	Ryan Harrison	2.0
Grigor Dimitrov	Paul-Henri Mathieu	1.0
Grigor Dimitrov	Andy Murray	5.0
Grigor Dimitrov	Marcos Baghdatis	2.0
Grigor Dimitrov	Stan Wawrinka	1.0
Grigor Dimitrov	Rafael Nadal	4.0
Grigor Dimitrov	Roger Federer	2.0
Grigor Dimitrov	Tommy Robredo	2.0
Grigor Dimitrov	Mikhail Kukushkin	3.0
