Source	Target	Weight	Color
Eric Quigley	Adrian Mannarino	2.0	1.0
Grigor Dimitrov	Tomas Berdych	2.0	1.0
Grigor Dimitrov	Pablo Cuevas	2.0	1.0
Grigor Dimitrov	Benoit Paire	3.0	0.666666666667
Grigor Dimitrov	Gael Monfils	2.0	1.0
Grigor Dimitrov	John Isner	2.0	1.0
Grigor Dimitrov	David Ferrer	3.0	0.666666666667
Grigor Dimitrov	Ryan Harrison	3.0	0.666666666667
Grigor Dimitrov	Gilles Muller	4.0	1.0
Grigor Dimitrov	Steve Johnson	3.0	0.666666666667
Grigor Dimitrov	Andy Murray	7.0	0.714285714286
Grigor Dimitrov	Rafael Nadal	5.0	0.8
Grigor Dimitrov	Roger Federer	2.0	1.0
Grigor Dimitrov	Tommy Robredo	3.0	0.666666666667
Grigor Dimitrov	Mikhail Kukushkin	5.0	0.6
Grigor Dimitrov	Richard Gasquet	3.0	1.0
Grigor Dimitrov	Benjamin Becker	2.0	1.0
Grigor Dimitrov	Jack Sock	6.0	0.833333333333
Mohamed Safwat	Ivan Dodig	2.0	1.0
Dennis Novikov	Jurgen Melzer	2.0	1.0
Benoit Paire	Juan Monaco	2.0	1.0
Benoit Paire	Tomas Berdych	4.0	0.75
Benoit Paire	Joao Sousa	3.0	0.666666666667
Benoit Paire	Hyeon Chung	2.0	1.0
Benoit Paire	Philipp Kohlschreiber	5.0	0.6
Benoit Paire	Stan Wawrinka	4.0	1.0
Benoit Paire	Jerzy Janowicz	4.0	0.75
Benoit Paire	Gilles Simon	5.0	0.8
Benoit Paire	Novak Djokovic	2.0	1.0
Benoit Paire	Marco Chiudinelli	3.0	0.666666666667
Benoit Paire	Jo-Wilfried Tsonga	3.0	1.0
Benoit Paire	Denis Istomin	4.0	0.5
Mardy Fish	Andy Murray	2.0	1.0
Mardy Fish	Dudi Sela	2.0	1.0
Mardy Fish	Ryan Harrison	3.0	0.666666666667
Mardy Fish	Feliciano Lopez	5.0	0.6
Blaz Rola	Joao Souza	3.0	0.666666666667
Blaz Rola	Carlos Berlocq	2.0	1.0
Blaz Rola	Leonardo Mayer	5.0	0.6
Blaz Rola	Nicolas Almagro	2.0	1.0
Blaz Rola	Adrian Mannarino	3.0	1.0
Blaz Rola	Matthew Ebden	3.0	1.0
Malek Jaziri	Steve Darcis	3.0	0.666666666667
Malek Jaziri	James Duckworth	5.0	0.6
Malek Jaziri	Borna Coric	3.0	0.666666666667
Malek Jaziri	Ivo Karlovic	2.0	1.0
Malek Jaziri	John Isner	3.0	1.0
Malek Jaziri	Ryan Harrison	2.0	1.0
Malek Jaziri	Ricardas Berankis	2.0	1.0
Malek Jaziri	Gilles Muller	2.0	1.0
Malek Jaziri	Gilles Simon	3.0	0.666666666667
Malek Jaziri	Kevin Anderson	2.0	1.0
Malek Jaziri	Andrey Kuznetsov	3.0	1.0
Malek Jaziri	Adrian Mannarino	3.0	0.666666666667
Malek Jaziri	Bernard Tomic	2.0	1.0
Malek Jaziri	Dominic Thiem	2.0	1.0
Malek Jaziri	Yen-Hsun Lu	2.0	1.0
Malek Jaziri	Nick Kyrgios	3.0	1.0
Malek Jaziri	Daniel Gimeno-Traver	2.0	1.0
Malek Jaziri	Jiri Vesely	2.0	1.0
John Isner	Tomas Berdych	3.0	0.666666666667
John Isner	Sam Querrey	4.0	1.0
John Isner	Marinko Matosevic	2.0	1.0
John Isner	Teymuraz Gabashvili	2.0	1.0
John Isner	David Ferrer	3.0	0.666666666667
John Isner	Marin Cilic	5.0	0.6
John Isner	Gilles Muller	3.0	1.0
John Isner	Andy Murray	3.0	0.666666666667
John Isner	Rajeev Ram	3.0	0.666666666667
John Isner	Roger Federer	6.0	0.666666666667
John Isner	Viktor Troicki	4.0	0.5
John Isner	Rafael Nadal	3.0	0.666666666667
John Isner	Novak Djokovic	6.0	1.0
John Isner	Dominic Thiem	4.0	0.5
John Isner	Jeremy Chardy	7.0	0.714285714286
John Isner	Jack Sock	2.0	1.0
Marius Copil	Mikhail Youzhny	3.0	0.666666666667
Marius Copil	Roberto Bautista Agut	2.0	1.0
Marius Copil	Gilles Muller	2.0	1.0
Marius Copil	Mikhail Kukushkin	3.0	0.666666666667
Marius Copil	Stan Wawrinka	3.0	1.0
Alexander Zverev	Tomas Berdych	2.0	1.0
Alexander Zverev	Gael Monfils	2.0	1.0
Alexander Zverev	Jeremy Chardy	3.0	0.666666666667
Alexander Zverev	Ivo Karlovic	3.0	0.666666666667
Alexander Zverev	Philipp Kohlschreiber	7.0	0.714285714286
Alexander Zverev	Lukas Rosol	2.0	1.0
Alexander Zverev	Marin Cilic	2.0	1.0
Alexander Zverev	Marcos Baghdatis	2.0	1.0
Alexander Zverev	Tommy Robredo	5.0	0.8
Alexander Zverev	Roberto Bautista Agut	2.0	1.0
Alexander Zverev	Viktor Troicki	3.0	0.666666666667
Alexander Zverev	Marsel Ilhan	2.0	1.0
Alexander Zverev	Fernando Verdasco	3.0	0.666666666667
Alexander Zverev	Borna Coric	3.0	0.666666666667
Mikael Ymer	Alexander Zverev	3.0	0.666666666667
Arthur De Greef	Aljaz Bedene	2.0	1.0
Rogerio Dutra Silva	Federico Delbonis	3.0	0.666666666667
Rogerio Dutra Silva	Santiago Giraldo	4.0	1.0
Philip Bester	Gilles Muller	2.0	1.0
Ricardas Berankis	Robin Haase	3.0	0.666666666667
Ricardas Berankis	Sergiy Stakhovsky	3.0	1.0
Ricardas Berankis	Andreas Seppi	3.0	0.666666666667
Ricardas Berankis	David Goffin	8.0	0.625
Ricardas Berankis	Albert Montanes	3.0	0.666666666667
Ricardas Berankis	Santiago Giraldo	3.0	0.666666666667
Ricardas Berankis	Kevin Anderson	3.0	1.0
Ricardas Berankis	Tatsuma Ito	2.0	1.0
Ricardas Berankis	John Isner	5.0	0.8
Ricardas Berankis	Federico Delbonis	2.0	1.0
Ricardas Berankis	Evgeny Donskoy	2.0	1.0
Ricardas Berankis	Lucas Pouille	3.0	0.666666666667
Ricardas Berankis	Hiroki Moriya	2.0	1.0
Ricardas Berankis	Tommy Robredo	3.0	0.666666666667
Ricardas Berankis	Alexandr Dolgopolov	2.0	1.0
Somdev Devvarman	Jared Donaldson	3.0	0.666666666667
Somdev Devvarman	Yen-Hsun Lu	2.0	1.0
Alexander Sarkissian	Malek Jaziri	3.0	0.666666666667
Yuichi Sugita	Thomaz Bellucci	2.0	1.0
Yuichi Sugita	Blaz Kavcic	3.0	1.0
Yuichi Sugita	Rajeev Ram	2.0	1.0
Yuichi Sugita	Radek Stepanek	2.0	1.0
Yuichi Sugita	Victor Estrella Burgos	3.0	0.666666666667
Yuichi Sugita	Lukas Rosol	2.0	1.0
Thomaz Bellucci	Tomas Berdych	2.0	1.0
Thomaz Bellucci	Pablo Cuevas	8.0	0.5
Thomaz Bellucci	Simone Bolelli	3.0	0.666666666667
Thomaz Bellucci	Gael Monfils	3.0	0.666666666667
Thomaz Bellucci	Kei Nishikori	3.0	1.0
Thomaz Bellucci	Malek Jaziri	2.0	1.0
Thomaz Bellucci	John Isner	3.0	0.666666666667
Thomaz Bellucci	Alexander Zverev	6.0	0.666666666667
