Id	In-strength
Jared Donaldson	9
Eric Quigley	0
Janko Tipsarevic	9
Grigor Dimitrov	78
Jesse Huta Galung	1
Dennis Novikov	0
Benoit Paire	59
Mardy Fish	8
Blaz Rola	9
Malek Jaziri	33
John Isner	104
Marius Copil	9
Alexander Zverev	37
Mikael Ymer	1
Arthur De Greef	2
Rogerio Dutra Silva	1
Philip Bester	0
Ricardas Berankis	35
Somdev Devvarman	1
Alexander Sarkissian	3
Aljaz Bedene	38
Noah Rubin	1
Edouard Roger-Vasselin	19
Nicolas Mahut	30
Federico Delbonis	38
Alejandro Gonzalez	8
Marcos Baghdatis	62
Rajeev Ram	19
Milos Raonic	72
Marton Fucsovics	1
Markus Eriksson	0
Julien Benneteau	3
Robin Haase	38
Gilles Simon	92
Aslan Karatsev	3
Andre Ghem	0
Jan-Lennard Struff	19
Andrea Arnaboldi	4
Kimmer Coppejans	0
Radu Albot	4
Jiri Vesely	62
Roberto Bautista Agut	98
Austin Krajicek	18
Nicolas Almagro	41
Andrey Kuznetsov	18
Daniel Garza	0
Darian King	0
Tim Puetz	1
Gonzalo Escobar	1
Lucas Miedler	1
Marco Cecchinato	3
Jabor Mohammed Ali Mutawa	0
Steve Darcis	18
Andrey Rublev	18
Renzo Olivo	4
Jack Sock	71
Antonio Veic	0
Go Soeda	15
Albert Ramos-Vinolas	43
Stefan Kozlov	0
Evgeny Donskoy	13
Henri Laaksonen	1
Frances Tiafoe	4
Adrian Menendez-Maceiras	5
Tobias Kamke	4
Tomas Berdych	125
Daniel Elahi Galan	3
Guilherme Clezar	2
Dustin Brown	29
James Ward	14
Jose Statham	0
Joao Sousa	81
Kei Nishikori	112
Laurent Lokoli	1
Hyeon Chung	22
Philipp Kohlschreiber	76
Norbert Gombos	1
John-Patrick Smith	9
Lukas Rosol	53
Tatsuma Ito	19
Ryan Harrison	13
James McGee	0
Paolo Lorenzi	19
Fabio Fognini	68
Sergiy Stakhovsky	54
Andreas Seppi	59
Maximo Gonzalez	4
Bjorn Fratangelo	0
Nicolas Jarry	4
Sam Querrey	51
Ramkumar Ramanathan	0
Filip Peliwo	1
Matthew Ebden	6
Paul-Henri Mathieu	22
Stan Wawrinka	133
Maximilian Marterer	1
Quentin Halys	0
Jerzy Janowicz	52
Lleyton Hewitt	17
Yoshihito Nishioka	8
Liam Broady	3
Zhizhen Zhang	2
Brydan Klein	0
Aleksandr Nedovyesov	1
Ernests Gulbis	34
Constant Lestienne	0
Pere Riba	0
Joao Souza	17
Dudi Sela	20
Mikhail Kukushkin	40
Richard Gasquet	95
Maxime Teixeira	0
Gerald Melzer	5
Marsel Ilhan	20
Matthias Bachinger	5
Michael Russell	1
Lucas Pouille	28
Hiroki Moriya	3
Kenny De Schepper	13
Alejandro Falla	18
Feliciano Lopez	84
Albert Montanes	16
Marco Chiudinelli	2
Mohamed Safwat	0
Ze Zhang	3
Jo-Wilfried Tsonga	75
Denis Istomin	45
Daniel Gimeno-Traver	31
Andrey Golubev	11
Michal Przysiezny	1
Takuto Niki	0
